0	#System	0	\N
2	Corporation	0	\N
3	Region	1	\N
4	Constellation	1	\N
5	Solar System	1	\N
6	Sun G5 (Yellow)	1	\N
7	Sun K7 (Orange)	1	\N
8	Sun K5 (Red Giant)	1	\N
9	Sun B0 (Blue)	1	\N
10	Sun F0 (White)	1	\N
11	Planet (Temperate)	1	\N
12	Planet (Ice)	1	\N
13	Planet (Gas)	1	\N
14	Moon	1	\N
15	Asteroid Belt	1	\N
16	Stargate (Caldari System)	10000000	\N
17	Stargate (Amarr Constellation)	100000000	\N
18	Plagioclase	0.35	516
19	Spodumain	16	517
20	Kernite	1.2	523
21	Hedbergite	3	527
22	Arkonor	16	512
23	Cargo Container	27500	\N
24	Ring	1	\N
25	Corpse	2	\N
26	Office Folder	1	\N
27	Office	1	\N
28	Factory Folder	1	\N
29	Credits	0	\N
30	Faction	0	\N
34	Tritanium	0.01	18
35	Pyerite	0.01	18
36	Mexallon	0.01	18
37	Isogen	0.01	18
38	Nocxium	0.01	18
39	Zydrine	0.01	18
40	Megacyte	0.01	18
41	Garbage	0.25	20
42	Spiced Wine	0.5	492
43	Antibiotics	0.2	492
44	Enriched Uranium	1.5	1335
45	Frozen Plant Seeds	0.5	492
49	Player Kill	0	\N
50	Company Shares	0	\N
51	Bookmark	0	\N
52	Trading	0	\N
53	Trade Session	0	\N
54	Caldari Logistics Station	1	\N
56	Gallente Military Station	1	\N
57	Gallente Station Hub 	1	\N
58	C-O-1	1	\N
59	C-O-2	1	\N
164	Clone Grade Alpha	1	\N
165	Clone Grade Beta	1	\N
166	Clone Grade Gamma	1	\N
178	Carbonized Lead S	0.0025	113
179	Nuclear S	0.0025	113
180	Proton S	0.0025	113
181	Depleted Uranium S	0.0025	113
182	Titanium Sabot S	0.0025	113
183	Fusion S	0.0025	113
184	Phased Plasma S	0.0025	113
185	EMP S	0.0025	113
186	Carbonized Lead M	0.0125	112
187	Nuclear M	0.0125	112
188	Proton M	0.0125	112
189	Depleted Uranium M	0.0125	112
190	Titanium Sabot M	0.0125	112
191	Fusion M	0.0125	112
192	Phased Plasma M	0.0125	112
193	EMP M	0.0125	112
194	Carbonized Lead L	0.025	109
195	Nuclear L	0.025	109
196	Proton L	0.025	109
197	Depleted Uranium L	0.025	109
198	Titanium Sabot L	0.025	109
199	Fusion L	0.025	109
